iter	Passed	Remaining
305	8921	4898
306	8946	4866
307	8963	4831
308	8982	4796
309	9006	4764
310	9022	4728
311	9042	4695
312	9061	4660
313	9081	4627
314	9100	4593
315	9118	4559
316	9137	4525
317	9152	4489
318	9174	4457
319	9197	4426
320	9226	4397
321	9263	4372
322	9307	4351
323	9339	4323
324	9422	4319
325	9499	4312
326	9525	4282
327	9547	4249
328	9566	4216
329	9586	4183
330	9605	4149
331	9624	4116
332	9656	4088
333	9674	4055
334	9695	4022
335	9711	3988
336	9730	3955
337	9747	3921
338	9766	3889
339	9786	3857
340	9806	3824
341	9826	3792
342	9846	3760
343	9865	3728
344	9887	3697
345	9909	3665
346	9932	3635
347	9951	3603
348	9970	3570
349	9988	3538
350	10008	3507
351	10027	3475
352	10046	3443
353	10065	3411
354	10083	3380
355	10105	3349
356	10124	3318
357	10140	3285
358	10162	3255
359	10181	3224
360	10196	3191
361	10215	3160
362	10235	3129
363	10253	3098
364	10271	3067
365	10289	3036
366	10307	3005
367	10326	2974
368	10344	2943
369	10364	2913
370	10381	2882
371	10400	2851
372	10419	2821
373	10435	2790
374	10457	2760
375	10475	2730
376	10491	2699
377	10510	2669
378	10526	2638
379	10549	2609
380	10568	2579
381	10583	2549
382	10602	2519
383	10622	2489
384	10637	2459
385	10655	2429
386	10670	2398
387	10695	2370
388	10714	2341
389	10730	2311
390	10748	2281
391	10765	2251
392	10785	2222
393	10803	2193
394	10819	2163
395	10843	2135
396	10861	2106
397	10878	2077
398	10900	2049
399	10922	2020
400	10938	1991
401	10957	1962
402	10973	1933
403	10996	1905
404	11015	1876
405	11040	1849
406	11062	1821
407	11081	1792
408	11095	1763
409	11112	1734
410	11177	1713
411	11230	1690
412	11271	1664
413	11290	1636
414	11308	1607
415	11328	1579
416	11347	1551
417	11362	1522
418	11380	1493
419	11402	1466
420	11418	1437
421	11443	1410
422	11480	1384
423	11504	1356
424	11530	1329
425	11556	1302
426	11582	1274
427	11611	1247
428	11643	1221
429	11668	1194
430	11705	1167
431	11728	1140
432	11744	1112
433	11763	1084
434	11781	1056
435	11800	1028
436	11819	1000
437	11840	973
438	11864	945
439	11885	918
440	11900	890
441	11923	863
442	11940	835
443	11962	808
444	11991	781
445	12018	754
446	12044	727
447	12074	700
448	12097	673
449	12120	646
450	12136	618
451	12157	591
452	12172	564
453	12191	537
454	12209	509
455	12228	482
456	12246	455
457	12261	428
458	12279	401
459	12294	374
460	12315	347
461	12333	320
462	12348	293
463	12369	266
464	12389	239
465	12405	212
466	12423	186
467	12440	159
468	12464	132
469	12486	106
470	12504	79
471	12531	53
472	12550	26
473	12572	0
